tenant,sf
Apple,882657
Google,537000
Google,505075
Amazon,362563
Amazon,357481
Facebook,350663
Amazon,350663
Facebook,350663
Facebook,350633
Databricks Inc.,338254
Juniper Networks,318172
Juniper Networks,318000
Google,315272
Google,315272
Google,315272
Google,314352
Google,314352
Google,314352
Google,298924
Google,293664
Google,266316
Amazon,227529
Nokia,225225
Amazon,224492
Amazon,224492
Apple,212322
Apple,212322
Walmart Inc.,206268
Meta,198468
Walmart,198298
Meta,192479
Walmart,192293
Walmart,189944
Google,182500
Apple,180660
Fortinet,172000
Apple,167000
CrowdStrike,162593
Apple,162200
Google,158075
Apple,156785
Snap Inc.,156048
Uber,153324
Databricks,152705
Synopsys,152002
LinkedIn,143822
LinkedIn,143820
Synopsys,140000
Walmart,138146
Meta,138146
LinkedIn,136000
Google,133320
Walmart Inc.,132579
Abbott,132148
Uber,130400
Google,126760
Google,125176
Google,122435
Apple, Inc.,121872
Apple,121200
Proofpoint, Inc.,121200
Google,121185
Apple,121100
LinkedIn,120000
Linkedin,120000
Apple,116586
Apple,116586
Apple,116586
Apple,108418
Applied Intuition,108109
LinkedIn,107912
LinkedIn,107912
Synopsys,105000
Synopsys,105000
Apple Inc.,105000
Apple,104600
Apple Inc.,104600
Robert Bosch Corporation,104468
Google,100000
Google,100000
Google,100000
Google,100000
Google,99000
Apple,95000
Apple,91245
Apple Inc.,81267
Comcast,80796
Stanford Children's Health,80000
Apple,78444
Trimble, Inc,75093
Yahoo,72456
Cerebras,68608
Apple, Inc.,64086
Dolby Laboratories, Inc.,63379
Fujitsu America Inc,60000
Apple,59500
Applied Intuition,58602
Cruise Automation,58000
Apple, Inc.,57671
Applied Intuition,52949
Google,52801
Google,52500
Apple,51680
CommScope,48480
Riverbed Technology Inc,45823
Tiny Prints,43000
Apple,43000
iHealth Labs,40925
Plug and Play,40500
CoreWeave,39314
Kaiser Permanente,36546
Sunnyvale Community Service,36028
Eridan,34862
United States Postal Service,34440
Tensordyne,34106
Crusoe,34000
Stratford School, Inc.,34000
Ooma,33400
Fiserv,31759
Apple,31266
Google,30810
Silicon Valley Clean Energy,28000
Doordash,27624
Google,26250
UMC Group,25258
Red Hat,24155
YugaByte,23600
Sunnyvale city hall annex,23102
Cupertino Union School District,22961
Cupertino Union School District,22961
Cosmopolitan Catering,22226
South Bay Church,21872
Ondas Networks,21537
Antora Energy, Inc.,20500
Azul Systems,20426
DuPont,20358
Comparative Bioscience,20000
Divider,20000
Digicert,20000
Sunnyvale City Hall,20000
Tech-Star Industries,19522
Applied Technologies,18805
Walmart,17400
Sunnyvale Elementary School District,16714
Alibaba Group,16630
Inprintz,16510
Opal Soft Inc,16000
John Bodo,15000
Google,14948
The Rock Church,14449
Engage Stack,14087
NOVAworks,14000
Vastek Group,13028
ArchiFiction,12925
Relievant Medsystems Inc.,12000
City of Sunnyvale,12000
Ruckus Wireless,11934
Testco, Inc,11680
YugaByte,11614
Intermedia,11319
MLSListings - Data Share,10899
SingleStore,10468
Sierra Circuits, Inc.,10336
Intuitive Surgical Inc,10000
Haverstock & Owens L.L.P.,9291
Jumio,8688
Regus,8000
Multi-Fineline Electronix Inc,8000
Palo Alto Medical Foundation,7666
Fortinet,7632
SC Builders Inc.,7575
Altair,7513
CLARA Analytics,7500
American Chinese Evangelical Seminary,7400
Citi,7267
Swan Ping Pong, Inc.,7218
Atul Sheth MD,6795
Grand indian buffet,6720
ACE Property Management,6680
Satellite Workplaces,6650
Four Home Media,6536
The Meadows Outpatient Clinic,6344
Cantina,6239
Stairwell, Inc.,6225
Sacred Logos Resource Center,6217
WestEd,6076
Sunnyvale Sleep Center,6024
EZ Electric,6000
Bank of America,5972
Carbonite,5865
Symbiokinetics,5858
Silicon Valley Clean Energy,5530
Harman International,5000
SVA,5000
